domain,riskScore,riskLevel,products,ageDays,contactEmail,topIssues
shopashleys.com,53,High,250,1624,,"No public contact email (HIGH); 240 product(s) with fake compare-at pricing (HIGH); 8 product image(s) under 500px (MED)"
inbreathe.in,50,High,28,2134,,"No/thin refund policy (HIGH); No public contact email (HIGH)"
junggardencenters.com,50,High,0,,,"No/thin refund policy (HIGH); No public contact email (HIGH)"
emilypets.co,48,High,250,1890,info@cature.in,"105 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED); 4 product image(s) under 500px (MED)"
insidestory.ca,48,High,250,1868,lida@insidestory.ca,"4 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED); 1 product image(s) under 500px (MED)"
houseplantshop.com,48,High,250,2957,info@houseplantshop.com,"15 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED); 4 product image(s) under 500px (MED)"
putaplantonit.shop,46,High,27,2031,lake.effect.gardener@gmail.com,"No/thin refund policy (HIGH); 1 product image(s) under 500px (MED); Many products missing descriptions (MED)"
madewithspin.com,45,High,250,3408,,"No public contact email (HIGH); 210 product(s) with fake compare-at pricing (HIGH)"
pandajewelrystore.com,45,High,250,551,,"No public contact email (HIGH); 43 product(s) with fake compare-at pricing (HIGH)"
cossetclothing.com,45,High,112,1846,,"No public contact email (HIGH); 32 product(s) with fake compare-at pricing (HIGH)"
originone.in,45,High,243,3860,,"No public contact email (HIGH); 5 product(s) with fake compare-at pricing (HIGH)"
thesnackcompany.in,45,High,57,2086,,"No public contact email (HIGH); 29 product(s) with fake compare-at pricing (HIGH)"
foodsmith.in,45,High,250,2000,,"No public contact email (HIGH); 1 product(s) with fake compare-at pricing (HIGH)"
shutterandframe.com,45,High,250,1495,,"No public contact email (HIGH); 250 product(s) with fake compare-at pricing (HIGH)"
gaiam.com,45,High,142,3368,,"No public contact email (HIGH); 1 product(s) with fake compare-at pricing (HIGH)"
posterandframe.com,43,High,250,1022,,"No public contact email (HIGH); Fake urgency/scarcity on storefront (MED); Many products missing descriptions (MED)"
thebeautyworldstore.com,41,High,250,681,thebeautyworld.business@gmail.com,"2 product(s) with fake compare-at pricing (HIGH); 4 product image(s) under 500px (MED); Many products missing descriptions (MED)"
thebuzzatgreenhill.com,41,High,250,1687,thebuzz@greenhill.org,"23 product(s) with fake compare-at pricing (HIGH); 64 product image(s) under 500px (MED); Many products missing descriptions (MED)"
home360stores.com,40,High,250,736,files@quinn-live.bundle.js,"5 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
basilpetcare.com,40,High,240,1590,contact@thebasil.in,"14 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
radlvng.com,40,High,250,2028,hello@radlvng.com,"65 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
alcissports.com,40,High,250,1742,info@alcissports.com,"12 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
thegoodpatch.com,40,High,43,2929,info@lamend.com,"17 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
felina.com,40,High,250,3202,support@felina.com,"117 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
lexandleviepetsupplies.com,38,Medium,141,243,info.lexandlevie@gmail.com,"No/thin refund policy (HIGH); 17 product image(s) under 500px (MED)"
thebrewcoffeeshop.ca,38,Medium,2,847,commonground@ams.queensu.ca,"No/thin refund policy (HIGH); Many products missing descriptions (MED)"
vt-cosmetics.in,35,Medium,90,349,,"No public contact email (HIGH); Fake urgency/scarcity on storefront (MED)"
hypereffekt.com,35,Medium,0,,hello@hypereffekt.com,"No/thin refund policy (HIGH); No visible payment/trust badges (LOW)"
nuuva.us,35,Medium,10,1913,,"No public contact email (HIGH); Fake urgency/scarcity on storefront (MED)"
mobilecasez.com,33,Medium,250,1077,info@mobilecasez.com,"1 product(s) with fake compare-at pricing (HIGH); 14 product image(s) under 500px (MED)"
trdst.co,33,Medium,250,0,cs@trdst.co,"4 product(s) with fake compare-at pricing (HIGH); 227 product image(s) under 500px (MED)"
furnisquare.com,33,Medium,250,343,info@furnisquare.com,"2 product(s) with fake compare-at pricing (HIGH); 2 product image(s) under 500px (MED)"
classiccoffees.in,33,Medium,65,2878,info@classiccoffees.in,"7 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
bamboologytrends.com,33,Medium,199,2012,connect@bamboologytrends.com,"2 product(s) with fake compare-at pricing (HIGH); 4 product image(s) under 500px (MED)"
mycookwareshop.com,33,Medium,250,1920,info@mycookwareshop.com,"9 product(s) with fake compare-at pricing (HIGH); 49 product image(s) under 500px (MED)"
etbykayal.com,33,Medium,230,743,help@etbykayal.com,"14 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
hopscotchstore.com,33,Medium,250,3848,info@hopscotchstore.com,"1 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
samstoy.in,33,Medium,250,1681,support@samstoy.in,"2 product(s) with fake compare-at pricing (HIGH); 16 product image(s) under 500px (MED)"
dulaar.co,33,Medium,250,1385,shop@dulaar.co,"10 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
bbag.in,33,Medium,250,96,info@stagheaddesigns.com,"71 product(s) with fake compare-at pricing (HIGH); 19 product image(s) under 500px (MED)"
stationeryplug.com,33,Medium,250,1561,help.stationeryplug@gmail.com,"53 product(s) with fake compare-at pricing (HIGH); 23 product image(s) under 500px (MED)"
gifthubmart.com,33,Medium,250,1122,gifthubmart@gmail.com,"1 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
makaibari.in,33,Medium,83,2651,info@makaibari.com,"11 product(s) with fake compare-at pricing (HIGH); 6 product image(s) under 500px (MED)"
worldofwatchesindia.com,33,Medium,250,353,wowwm.gur@outlook.com,"250 product(s) with fake compare-at pricing (HIGH); 250 product image(s) under 500px (MED)"
heynezzie.com,33,Medium,238,2268,contact@heynezzie.com,"2 product(s) with fake compare-at pricing (HIGH); 9 product image(s) under 500px (MED)"
shopatthemix.com,33,Medium,250,92,caroline@shopatthemix.com,"1 product(s) with fake compare-at pricing (HIGH); 2 product image(s) under 500px (MED)"
pgytech.com,33,Medium,169,2550,service@pgytech.com,"78 product(s) with fake compare-at pricing (HIGH); 2 product image(s) under 500px (MED)"
outdoorvitals.com,33,Medium,219,3338,support@outdoorvitals.com,"104 product(s) with fake compare-at pricing (HIGH); 6 product image(s) under 500px (MED)"
ridgeandriver.com,33,Medium,250,1116,hello@ridgeandriver.com,"247 product(s) with fake compare-at pricing (HIGH); 56 product image(s) under 500px (MED)"
autofashion-usa.com,33,Medium,250,1102,john@email.com,"2 product(s) with fake compare-at pricing (HIGH); 12 product image(s) under 500px (MED)"
topdrawerlingerie.com,33,Medium,250,3381,info@topdrawerlingerie.com,"244 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
greatgardenplants.com,33,Medium,250,2046,claims@greatgardenplants.com,"1 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
pixiesgardens.com,33,Medium,250,2513,cs@pixiesgardens.com,"3 product(s) with fake compare-at pricing (HIGH); 6 product image(s) under 500px (MED)"
boconcept.com,30,Medium,0,,support@boconcept.com,"No/thin refund policy (HIGH)"
theskincarelibrary.com,30,Medium,250,1074,info@tscl.com.qa,"No/thin refund policy (HIGH)"
maznash.com,30,Medium,22,484,maznash@outlook.com,"No/thin refund policy (HIGH)"
thecraftroot.com,28,Medium,36,713,,"No public contact email (HIGH); 1 product image(s) under 500px (MED)"
theumbrellastore.in,28,Medium,250,1407,,"No public contact email (HIGH); 4 product image(s) under 500px (MED)"
greenheirloom.in,28,Medium,76,2117,,"No public contact email (HIGH); 2 product image(s) under 500px (MED)"
mmtoyworld.com,28,Medium,250,1140,,"No public contact email (HIGH); 10 product image(s) under 500px (MED)"
fugazee.com,28,Medium,250,2634,,"No public contact email (HIGH); 1 product image(s) under 500px (MED)"
pennstatebakery.com,28,Medium,58,2893,,"No public contact email (HIGH); 2 product image(s) under 500px (MED)"
minaturewellness.com,25,Medium,125,1075,info@minatureherbal.com,"6 product(s) with fake compare-at pricing (HIGH)"
anaayacosmetics.com,25,Medium,55,934,ecom.anaaya@gmail.com,"6 product(s) with fake compare-at pricing (HIGH)"
beminimalist.co,25,Medium,75,2170,help@beminimalist.co,"4 product(s) with fake compare-at pricing (HIGH)"
wags4whiskers.com,25,Medium,217,946,wags4whiskers@gmail.com,"1 product(s) with fake compare-at pricing (HIGH)"
petsnpets.com,25,Medium,142,1417,customercare@petsnpets.com,"25 product(s) with fake compare-at pricing (HIGH)"
ekamonline.com,25,Medium,250,3295,cs@ekamonline.com,"124 product(s) with fake compare-at pricing (HIGH)"
wodarmour.in,25,Medium,250,3529,sales@wodarmour.in,"1 product(s) with fake compare-at pricing (HIGH)"
strch.com,25,Medium,250,178,n@strch.active,"121 product(s) with fake compare-at pricing (HIGH)"
houseofmakeup.com,25,Medium,67,1122,support@houseofmakeup.com,"6 product(s) with fake compare-at pricing (HIGH)"
allthingsbaby.com,25,Medium,250,1968,care@allthingsbaby.com,"238 product(s) with fake compare-at pricing (HIGH)"
thecollectionindia.com,25,Medium,250,981,info@thecollectionindia.com,"3 product(s) with fake compare-at pricing (HIGH)"
berrylush.com,25,Medium,250,443,support@berrylush.com,"1 product(s) with fake compare-at pricing (HIGH)"
delcoshoes.com,25,Medium,250,1610,customercare@delcoshoes.com,"161 product(s) with fake compare-at pricing (HIGH)"
dappershoes.in,25,Medium,30,3796,support@dappershoes.in,"22 product(s) with fake compare-at pricing (HIGH)"
thespringpalette.com,25,Medium,250,2169,thespringpalette@gmail.com,"16 product(s) with fake compare-at pricing (HIGH)"
udyantea.com,25,Medium,120,2505,support@udyantea.com,"21 product(s) with fake compare-at pricing (HIGH)"
chaayos.com,25,Medium,61,1927,bazaar@chaayos.com,"24 product(s) with fake compare-at pricing (HIGH)"
mintritea.com,25,Medium,25,1342,care@mintritea.com,"1 product(s) with fake compare-at pricing (HIGH)"
dharavimarket.com,25,Medium,250,979,teamdharavimarket@gmail.com,"21 product(s) with fake compare-at pricing (HIGH)"
calonge-group.com,25,Medium,250,670,calonge@calonge.in,"21 product(s) with fake compare-at pricing (HIGH)"
shopmistry.com,25,Medium,170,1445,customercare@shopmistry.com,"32 product(s) with fake compare-at pricing (HIGH)"
ohsnap.com,25,Medium,42,2378,u003esupport@ohsnap.com,"5 product(s) with fake compare-at pricing (HIGH)"
spycentre.com,25,Medium,71,3822,orders@spycentre.com,"1 product(s) with fake compare-at pricing (HIGH)"
fosteroutdoor.com,25,Medium,105,2626,info@fosteroutdoor.com,"6 product(s) with fake compare-at pricing (HIGH)"
minimalgear.com,25,Medium,87,2980,contact@minimalgear.com,"1 product(s) with fake compare-at pricing (HIGH)"
nextadventure.net,25,Medium,4,1006,customerservice@nextadventure.net,"2 product(s) with fake compare-at pricing (HIGH)"
opticnerve.com,25,Medium,103,3643,billpoupart@opticnerve.com,"3 product(s) with fake compare-at pricing (HIGH)"
catriona.com,25,Medium,250,938,customercare@catriona.com,"239 product(s) with fake compare-at pricing (HIGH)"
bibamba.com,25,Medium,44,1976,mara@bibamba.com,"1 product(s) with fake compare-at pricing (HIGH)"
thepurpleturtles.com,23,Medium,250,2717,info@thepurpleturtles.com,"Fake urgency/scarcity on storefront (MED); Many products missing descriptions (MED)"
jolgeractive.com,20,Medium,146,1175,,"No public contact email (HIGH)"
hookandeyeuk.com,20,Medium,19,1752,,"No public contact email (HIGH)"
zaydns.com,20,Medium,51,1066,,"No public contact email (HIGH)"
celes-te.com,20,Medium,45,2210,,"No public contact email (HIGH)"
dicksonsgiftshop.com,20,Medium,250,163,,"No public contact email (HIGH)"
catstudio.com,20,Medium,250,2668,,"No public contact email (HIGH)"
carveeyewear.com,20,Medium,212,185,,"No public contact email (HIGH)"
paradigmeyewear.com,20,Medium,135,1688,,"No public contact email (HIGH)"
evewellness.com,20,Medium,54,1065,,"No public contact email (HIGH)"
mcfeelysgourmetchocolate.com,20,Medium,49,1928,,"No public contact email (HIGH)"
furelisepets.com,15,Low,175,390,info@furelisepets.com,"Fake urgency/scarcity on storefront (MED)"
wuuffandmeow.com,15,Low,51,143,enquire@wuuffandmeow.com,"Fake urgency/scarcity on storefront (MED)"
silvertraq.com,15,Low,250,2567,files@quinn-live.bundle.js,"Fake urgency/scarcity on storefront (MED)"
shopzira.in,15,Low,7,356,pratham@shopzira.in,"Fake urgency/scarcity on storefront (MED)"
styleanny.in,15,Low,250,398,happytohelp@styleanny.in,"Fake urgency/scarcity on storefront (MED)"
theblackcanvas.in,15,Low,188,3524,info@theblackcanvas.in,"Fake urgency/scarcity on storefront (MED)"
perona.com,15,Low,250,1333,connect@perona.com,"Fake urgency/scarcity on storefront (MED)"
sugarandcanvas.com,15,Low,250,93,support@sugarandcanvas.com,"Fake urgency/scarcity on storefront (MED)"
louswim.com,15,Low,145,1899,info@louswim.com,"Fake urgency/scarcity on storefront (MED)"
vestachocolate.com,15,Low,48,2389,hi@email.com,"Fake urgency/scarcity on storefront (MED)"
thehomecostore.com,8,Low,250,523,thehomeco1101@gmail.com,"4 product image(s) under 500px (MED)"
bearhugsofficial.com,8,Low,63,1188,info@bearhugsofficial.com,"2 product image(s) under 500px (MED)"
arttdinox.com,8,Low,250,1521,contact@jindallifestyle.com,"7 product image(s) under 500px (MED)"
viaanakidsstore.com,8,Low,250,1576,viaanakidsstore@gmail.com,"8 product image(s) under 500px (MED)"
thesustainableshop.ca,8,Low,193,667,info@thesustainableshop.ca,"6 product image(s) under 500px (MED)"
naturessoulshop.com,8,Low,250,553,contact@naturessoulshop.com,"7 product image(s) under 500px (MED)"
isomarsshop.in,8,Low,250,2801,ranjanisomars@gmail.com,"4 product image(s) under 500px (MED)"
hikerhunger.com,8,Low,17,3704,hello@hikerhunger.com,"1 product image(s) under 500px (MED)"
loweredlifestyle.com,8,Low,250,854,sales@loweredlifestyle.com,"10 product image(s) under 500px (MED)"
partsvia.com,8,Low,250,65,customerservice@partsvia.com,"87 product image(s) under 500px (MED)"
oemcarpartsus.com,8,Low,250,20,info@oemcarpartsus.com,"1 product image(s) under 500px (MED)"
mindflowers.shop,8,Low,250,1847,help@mindflowers.shop,"1 product image(s) under 500px (MED)"
modo.com,8,Low,249,1126,clientrelations@modo.com,"5 product image(s) under 500px (MED)"
societylingerie.com,8,Low,139,1714,info@societylingerie.com,"2 product image(s) under 500px (MED)"
thechocolateroombrooklyn.com,8,Low,44,1739,info@thechocolateroombrooklyn.com,"1 product image(s) under 500px (MED)"
mastmarket.com,8,Low,44,1042,hello@mastmarket.com,"10 product image(s) under 500px (MED)"
thegoldentriangle.store,0,Low,250,1059,sales@thegoldentriangle.store,""
enamorardecor.com,0,Low,156,122,wecare@enamorardecor.com,""
daamaira.com,0,Low,250,520,hello@daamaira.com,""
shophomeedition.com,0,?,0,,,"unreachable / not public"
yellowverandah.in,0,Low,250,2182,%20care@yellowverandah.in,""
emmysbestpets.com,0,Low,11,3076,support@emmysbestpets.com,""
nookstore.in,0,Low,21,181,contactthenookstore@gmail.com,""
mikeydapparel.com,0,Low,54,3405,info@mikeydapparel.com,""
shopwithpraylady.com,0,Low,153,1209,sales@praylady.com,""
yoursustainablestore.com,0,?,0,,,"unreachable / not public"
qieco.com,0,Low,19,2172,hello@qieco.com,""
aniclothing.in,0,?,0,,,"unreachable / not public"
topperskit.com,0,Low,250,698,support@topperskit.com,""
khoyamithai.com,0,Low,141,2097,contact@khoyamithai.com,""
myalmari.in,0,Low,250,574,contact@myalmari.in,""
backcountryessentials.net,0,Low,250,516,info@backcountryessentials.net,""
walkaboutoutfitter.com,0,Low,250,76,info@walkaboutoutfitter.com,""
classicaccessories.com,0,Low,250,73,customerservice@classicaccessories.com,""
ohanamoderndecor.com,0,Low,250,132,support@ohanamoderndecor.com,""
wallartset.com,0,Low,250,707,sales@wallartset.com,""
shelfloveco.com,0,Low,250,506,hello@shelfloveco.com,""
artwise.co,0,Low,250,2059,tuffselectph@gmail.com,""
raen.com,0,Low,250,1955,%20info@raen.com,""
infiniteyewear.com,0,Low,250,875,hello@infiniteyewear.com,""
daxeyewear.com,0,Low,46,2032,hello@daxeyewear.com,""
macv.in,0,Low,206,1080,hello@macv.in,""
tvlashop.com,0,Low,15,3075,info@tvlashop.com,""
matthewjonesceramics.com,0,Low,66,1075,hello@matthewjonesceramics.com,""
tinasfinelingerie.com,0,?,0,,,"unreachable / not public"
gabriellaplants.com,0,Low,250,2751,orders@gabriellaplants.com,""
